"","gene","coverage","chromosome","begin","end","orientation","length","position","perc_coverage","Mb_position","Chr"
"663","Sh01_g021780",76,"Sh01",37598686,37604966,"+",6280,37601826,1.21019108280255,37.601826,"Sh0"
"664","Sh01_g021800",18,"Sh01",37647975,37650075,"+",2100,37649025,0.857142857142857,37.649025,"Sh0"
"665","Sh01_g021940",124,"Sh01",37800367,37803744,"-",3377,37802055.5,3.67189813443885,37.8020555,"Sh0"
"666","Sh01_g021970",19,"Sh01",37912740,37915473,"-",2733,37914106.5,0.695206732528357,37.9141065,"Sh0"
"667","Sh01_g021990",18,"Sh01",37981561,37982867,"-",1306,37982214,1.37825421133231,37.982214,"Sh0"
"668","Sh01_g022020",18,"Sh01",38011953,38012503,"+",550,38012228,3.27272727272727,38.012228,"Sh0"
"669","Sh01_g022120",19,"Sh01",38170314,38174883,"+",4569,38172598.5,0.415845918144014,38.1725985,"Sh0"
"670","Sh01_g022140",19,"Sh01",38193600,38195833,"+",2233,38194716.5,0.850873264666368,38.1947165,"Sh0"
"671","Sh01_g022180",45,"Sh01",38234436,38236821,"+",2385,38235628.5,1.88679245283019,38.2356285,"Sh0"
"672","Sh01_g022260",18,"Sh01",38418331,38421486,"+",3155,38419908.5,0.570522979397781,38.4199085,"Sh0"
"673","Sh01_g022290",26,"Sh01",38441166,38444110,"+",2944,38442638,0.883152173913043,38.442638,"Sh0"
"674","Sh01_g022370",17,"Sh01",38580784,38581734,"-",950,38581259,1.78947368421053,38.581259,"Sh0"
"675","Sh01_g022400",201,"Sh01",38595896,38599211,"-",3315,38597553.5,6.06334841628959,38.5975535,"Sh0"
"676","Sh01_g022450",44,"Sh01",38615933,38618045,"-",2112,38616989,2.08333333333333,38.616989,"Sh0"
"677","Sh01_g022460",18,"Sh01",38619160,38624599,"-",5439,38621879.5,0.330943188086045,38.6218795,"Sh0"
"678","Sh01_g022470",19,"Sh01",38640017,38645841,"-",5824,38642929,0.326236263736264,38.642929,"Sh0"
"679","Sh01_g022490",18,"Sh01",38741412,38745133,"-",3721,38743272.5,0.483740929857565,38.7432725,"Sh0"
"680","Sh01_g022510",18,"Sh01",38807640,38811546,"-",3906,38809593,0.460829493087558,38.809593,"Sh0"
"681","Sh01_g022520",18,"Sh01",38812452,38817222,"-",4770,38814837,0.377358490566038,38.814837,"Sh0"
"682","Sh01_g022550",23,"Sh01",38870832,38871702,"-",870,38871267,2.64367816091954,38.871267,"Sh0"
"683","Sh01_g022560",32,"Sh01",38873259,38873531,"+",272,38873395,11.7647058823529,38.873395,"Sh0"
"684","Sh01_g022570",18,"Sh01",38932640,38941646,"-",9006,38937143,0.199866755496336,38.937143,"Sh0"
"685","Sh01_g022670",391,"Sh01",39075405,39076472,"-",1067,39075938.5,36.6447985004686,39.0759385,"Sh0"
"686","Sh01_g022680",19,"Sh01",39116240,39118411,"+",2171,39117325.5,0.875172731460157,39.1173255,"Sh0"
"687","Sh01_g022730",18,"Sh01",39161430,39163214,"+",1784,39162322,1.00896860986547,39.162322,"Sh0"
"688","Sh01_g022750",134,"Sh01",39171985,39173824,"+",1839,39172904.5,7.28656878738445,39.1729045,"Sh0"
"689","Sh01_g022830",18,"Sh01",39367014,39368525,"+",1511,39367769.5,1.19126406353408,39.3677695,"Sh0"
"690","Sh01_g022900",22,"Sh01",39555147,39557796,"-",2649,39556471.5,0.830502076255191,39.5564715,"Sh0"
"691","Sh01_g022910",30,"Sh01",39577797,39582121,"+",4324,39579959,0.693802035152636,39.579959,"Sh0"
"692","Sh01_g022960",18,"Sh01",39656018,39659644,"-",3626,39657831,0.496414782129068,39.657831,"Sh0"
"693","Sh01_g023000",531,"Sh01",39691378,39697269,"-",5891,39694323.5,9.01374978781192,39.6943235,"Sh0"
"694","Sh01_g023100",191,"Sh01",40005854,40008810,"-",2956,40007332,6.46143437077131,40.007332,"Sh0"
"695","Sh01_g023240",26,"Sh01",40211640,40219568,"-",7928,40215604,0.32795156407669,40.215604,"Sh0"
"696","Sh01_g023250",113,"Sh01",40271628,40276998,"-",5370,40274313,2.10428305400372,40.274313,"Sh0"
"697","Sh01_g023280",18,"Sh01",40285352,40287431,"+",2079,40286391.5,0.865800865800866,40.2863915,"Sh0"
"698","Sh01_g023330",189,"Sh01",40346849,40347271,"-",422,40347060,44.7867298578199,40.34706,"Sh0"
"699","Sh01_g023350",68,"Sh01",40397127,40397378,"-",251,40397252.5,27.0916334661355,40.3972525,"Sh0"
"700","Sh01_g023360",115,"Sh01",40415321,40419001,"-",3680,40417161,3.125,40.417161,"Sh0"
"701","Sh01_g023450",209,"Sh01",40488196,40492642,"+",4446,40490419,4.7008547008547,40.490419,"Sh0"
"702","Sh01_g023460",18,"Sh01",40529530,40530159,"+",629,40529844.5,2.86168521462639,40.5298445,"Sh0"
"703","Sh01_g023490",23,"Sh01",40558818,40564862,"-",6044,40561840,0.380542686962277,40.56184,"Sh0"
"704","Sh01_g023570",18,"Sh01",40668025,40671154,"-",3129,40669589.5,0.575263662511985,40.6695895,"Sh0"
"705","Sh01_g023600",155,"Sh01",40706941,40710544,"-",3603,40708742.5,4.30197058007216,40.7087425,"Sh0"
"706","Sh01_g023630",35,"Sh01",40718417,40722709,"-",4292,40720563,0.81547064305685,40.720563,"Sh0"
"707","Sh01_g023710",23,"Sh01",40905287,40906409,"-",1122,40905848,2.04991087344029,40.905848,"Sh0"
"708","Sh01_g023810",18,"Sh01",41050834,41053670,"+",2836,41052252,0.634696755994358,41.052252,"Sh0"
"709","Sh01_g023920",22,"Sh01",41213011,41214078,"+",1067,41213544.5,2.06185567010309,41.2135445,"Sh0"
"710","Sh01_g023940",18,"Sh01",41259996,41262431,"-",2435,41261213.5,0.739219712525667,41.2612135,"Sh0"
"711","Sh01_g023980",50,"Sh01",41295838,41299726,"-",3888,41297782,1.28600823045267,41.297782,"Sh0"
"712","Sh01_g023990",50,"Sh01",41303087,41304381,"-",1294,41303734,3.86398763523957,41.303734,"Sh0"
"713","Sh01_g024010",37,"Sh01",41320429,41325449,"-",5020,41322939,0.737051792828685,41.322939,"Sh0"
"714","Sh01_g024090",18,"Sh01",41492753,41495884,"-",3131,41494318.5,0.574896199297349,41.4943185,"Sh0"
"715","Sh01_g024110",19,"Sh01",41547104,41550374,"+",3270,41548739,0.581039755351682,41.548739,"Sh0"
"716","Sh01_g024330",18,"Sh01",41755131,41755924,"-",793,41755527.5,2.26986128625473,41.7555275,"Sh0"
"717","Sh01_g024390",53,"Sh01",41782149,41782367,"+",218,41782258,24.3119266055046,41.782258,"Sh0"
"718","Sh01_g024400",18,"Sh01",41786221,41787338,"+",1117,41786779.5,1.61145926589078,41.7867795,"Sh0"
"719","Sh01_g024610",19,"Sh01",42067969,42070734,"-",2765,42069351.5,0.687160940325497,42.0693515,"Sh0"
"720","Sh01_g024620",34,"Sh01",42070756,42072546,"-",1790,42071651,1.89944134078212,42.071651,"Sh0"
"721","Sh01_g024710",268,"Sh01",42209539,42210007,"+",468,42209773,57.2649572649573,42.209773,"Sh0"
"722","Sh01_g024740",27,"Sh01",42244679,42250786,"+",6107,42247732.5,0.442115605043393,42.2477325,"Sh0"
"723","Sh01_g024760",84,"Sh01",42296784,42302459,"+",5675,42299621.5,1.48017621145374,42.2996215,"Sh0"
"724","Sh01_g024820",39,"Sh01",42448203,42453087,"+",4884,42450645,0.798525798525799,42.450645,"Sh0"
"725","Sh01_g024880",18,"Sh01",42525193,42525565,"+",372,42525379,4.83870967741935,42.525379,"Sh0"
"726","Sh01_g024930",112,"Sh01",42628904,42630774,"-",1870,42629839,5.98930481283422,42.629839,"Sh0"
"727","Sh01_g024950",18,"Sh01",42633582,42641490,"-",7908,42637536,0.227617602427921,42.637536,"Sh0"
"728","Sh01_g024990",38,"Sh01",42823315,42827345,"-",4030,42825330,0.942928039702233,42.82533,"Sh0"
"729","Sh01_g025040",37,"Sh01",42939773,42942548,"+",2775,42941160.5,1.33333333333333,42.9411605,"Sh0"
"730","Sh01_g025050",36,"Sh01",42942951,42944760,"+",1809,42943855.5,1.99004975124378,42.9438555,"Sh0"
"731","Sh01_g025110",37,"Sh01",42977701,42978446,"-",745,42978073.5,4.96644295302013,42.9780735,"Sh0"
"732","Sh01_g025130",18,"Sh01",43031785,43034878,"-",3093,43033331.5,0.5819592628516,43.0333315,"Sh0"
"733","Sh01_g025140",18,"Sh01",43043073,43047563,"+",4490,43045318,0.400890868596882,43.045318,"Sh0"
"734","Sh01_g025270",22,"Sh01",43226587,43227759,"+",1172,43227173,1.87713310580205,43.227173,"Sh0"
"735","Sh01_g025370",390,"Sh01",43295335,43295797,"+",462,43295566,84.4155844155844,43.295566,"Sh0"
"736","Sh01_g025420",1754,"Sh01",43342118,43357263,"+",15145,43349690.5,11.5813799933972,43.3496905,"Sh0"
"737","Sh01_g025430",134,"Sh01",43370160,43373242,"-",3082,43371701,4.34782608695652,43.371701,"Sh0"
"738","Sh01_g025540",102,"Sh01",43608545,43611310,"-",2765,43609927.5,3.68896925858951,43.6099275,"Sh0"
"739","Sh01_g025570",320,"Sh01",43687408,43691872,"+",4464,43689640,7.16845878136201,43.68964,"Sh0"
"740","Sh01_g025580",39,"Sh01",43693915,43694704,"+",789,43694309.5,4.94296577946768,43.6943095,"Sh0"
"741","Sh01_g025610",18,"Sh01",43707030,43709340,"-",2310,43708185,0.779220779220779,43.708185,"Sh0"
"742","Sh01_g025620",18,"Sh01",43709342,43711190,"-",1848,43710266,0.974025974025974,43.710266,"Sh0"
"743","Sh01_g025650",17,"Sh01",43740612,43741850,"+",1238,43741231,1.37318255250404,43.741231,"Sh0"
"744","Sh01_g025660",64,"Sh01",43751167,43754887,"-",3720,43753027,1.72043010752688,43.753027,"Sh0"
"745","Sh01_g025770",23,"Sh01",43907715,43908499,"+",784,43908107,2.93367346938776,43.908107,"Sh0"
"746","Sh01_g025780",18,"Sh01",43909640,43926410,"+",16770,43918025,0.107334525939177,43.918025,"Sh0"
"747","Sh01_g025840",18,"Sh01",43983621,43985963,"-",2342,43984792,0.768573868488471,43.984792,"Sh0"
"748","Sh01_g025900",67,"Sh01",44087137,44094010,"+",6873,44090573.5,0.974829041175615,44.0905735,"Sh0"
"749","Sh01_g025940",18,"Sh01",44125466,44128376,"-",2910,44126921,0.618556701030928,44.126921,"Sh0"
"750","Sh01_g025950",18,"Sh01",44136963,44140028,"+",3065,44138495.5,0.587275693311582,44.1384955,"Sh0"
"751","Sh01_g025960",18,"Sh01",44142502,44145675,"-",3173,44144088.5,0.567286479672234,44.1440885,"Sh0"
"752","Sh01_g026000",18,"Sh01",44175186,44179113,"-",3927,44177149.5,0.458365164247517,44.1771495,"Sh0"
"753","Sh01_g026120",205,"Sh01",44453632,44455691,"+",2059,44454661.5,9.95628946090335,44.4546615,"Sh0"
"754","Sh01_g026150",114,"Sh01",44519100,44525400,"+",6300,44522250,1.80952380952381,44.52225,"Sh0"
"755","Sh01_g026320",1038,"Sh01",44740744,44750194,"-",9450,44745469,10.984126984127,44.745469,"Sh0"
"756","Sh01_g026330",50,"Sh01",44786341,44790164,"-",3823,44788252.5,1.30787339785509,44.7882525,"Sh0"
"757","Sh01_g026550",19,"Sh01",45409897,45410526,"+",629,45410211.5,3.02066772655008,45.4102115,"Sh0"
"758","Sh01_g026610",135,"Sh01",45481233,45485051,"+",3818,45483142,3.5358826610791,45.483142,"Sh0"
"759","Sh01_g026660",18,"Sh01",45561743,45562475,"-",732,45562109,2.45901639344262,45.562109,"Sh0"
"760","Sh01_g026680",152,"Sh01",45593485,45597447,"+",3962,45595466,3.83644623927309,45.595466,"Sh0"
"761","Sh01_g026700",44,"Sh01",45611764,45615387,"+",3623,45613575.5,1.21446315208391,45.6135755,"Sh0"
"762","Sh01_g026710",38,"Sh01",45672555,45677312,"-",4757,45674933.5,0.798822787471095,45.6749335,"Sh0"
"763","Sh01_g026730",18,"Sh01",45686044,45687333,"-",1289,45686688.5,1.39643134212568,45.6866885,"Sh0"
"764","Sh01_g026790",170,"Sh01",45790845,45798870,"-",8025,45794857.5,2.1183800623053,45.7948575,"Sh0"
"765","Sh01_g026800",109,"Sh01",45880002,45884210,"+",4208,45882106,2.59030418250951,45.882106,"Sh0"
"766","Sh01_g026830",18,"Sh01",45893777,45898070,"-",4293,45895923.5,0.419287211740042,45.8959235,"Sh0"
"767","Sh01_g026910",18,"Sh01",45984355,45986098,"+",1743,45985226.5,1.03270223752151,45.9852265,"Sh0"
"768","Sh01_g027070",59,"Sh01",46143594,46148223,"-",4629,46145908.5,1.27457334197451,46.1459085,"Sh0"
"769","Sh01_g027130",54,"Sh01",46301770,46305591,"-",3821,46303680.5,1.41324260664747,46.3036805,"Sh0"
"770","Sh01_g027140",36,"Sh01",46320196,46322565,"+",2369,46321380.5,1.51962853524694,46.3213805,"Sh0"
"771","Sh01_g027150",177,"Sh01",46322567,46323769,"-",1202,46323168,14.7254575707155,46.323168,"Sh0"
"772","Sh01_g027160",92,"Sh01",46325273,46327379,"+",2106,46326326,4.3684710351377,46.326326,"Sh0"
"773","Sh01_g027190",144,"Sh01",46379192,46384668,"-",5476,46381930,2.62965668371074,46.38193,"Sh0"
"774","Sh01_g027200",18,"Sh01",46398044,46401378,"+",3334,46399711,0.539892021595681,46.399711,"Sh0"
"775","Sh01_g027260",23,"Sh01",46446538,46447387,"+",849,46446962.5,2.70906949352179,46.4469625,"Sh0"
"776","Sh01_g027290",18,"Sh01",46479197,46480550,"+",1353,46479873.5,1.33037694013304,46.4798735,"Sh0"
"777","Sh01_g027330",19,"Sh01",46544062,46547325,"-",3263,46545693.5,0.582286239656758,46.5456935,"Sh0"
"778","Sh01_g027530",67,"Sh01",46946683,46949023,"+",2340,46947853,2.86324786324786,46.947853,"Sh0"
"779","Sh01_g027590",18,"Sh01",47033813,47036556,"+",2743,47035184.5,0.656215822092599,47.0351845,"Sh0"
"780","Sh01_g027630",48,"Sh01",47067816,47072325,"-",4509,47070070.5,1.0645375914837,47.0700705,"Sh0"
"781","Sh01_g027660",45,"Sh01",47122625,47125880,"-",3255,47124252.5,1.38248847926267,47.1242525,"Sh0"
"782","Sh01_g027680",37,"Sh01",47204997,47208872,"-",3875,47206934.5,0.954838709677419,47.2069345,"Sh0"
"783","Sh01_g027710",17,"Sh01",47247771,47249084,"-",1313,47248427.5,1.29474485910129,47.2484275,"Sh0"
"784","Sh01_g027810",40,"Sh01",47387081,47392693,"+",5612,47389887,0.712758374910905,47.389887,"Sh0"
"785","Sh01_g027870",142,"Sh01",47509845,47514868,"-",5023,47512356.5,2.82699581923153,47.5123565,"Sh0"
"786","Sh01_g027900",764,"Sh01",47552251,47562326,"-",10075,47557288.5,7.58312655086849,47.5572885,"Sh0"
"787","Sh01_g027920",112,"Sh01",47592478,47594512,"+",2034,47593495,5.50639134709931,47.593495,"Sh0"
"788","Sh01_g027970",267,"Sh01",47639576,47646968,"-",7392,47643272,3.61201298701299,47.643272,"Sh0"
"789","Sh01_g028190",18,"Sh01",47860580,47860852,"+",272,47860716,6.61764705882353,47.860716,"Sh0"
"790","Sh01_g028240",393,"Sh01",47916538,47919908,"+",3370,47918223,11.6617210682493,47.918223,"Sh0"
"791","Sh01_g028280",18,"Sh01",47987763,47990824,"-",3061,47989293.5,0.588043123162365,47.9892935,"Sh0"
"792","Sh01_g028290",36,"Sh01",47994578,47997043,"+",2465,47995810.5,1.4604462474645,47.9958105,"Sh0"
"793","Sh01_g028300",18,"Sh01",48013981,48016229,"+",2248,48015105,0.800711743772242,48.015105,"Sh0"
"794","Sh01_g028340",28,"Sh01",48039386,48040846,"+",1460,48040116,1.91780821917808,48.040116,"Sh0"
"795","Sh01_g028360",908,"Sh01",48092025,48102957,"+",10932,48097491,8.30589096231248,48.097491,"Sh0"
"796","Sh01_g028440",136,"Sh01",48154235,48169179,"+",14944,48161707,0.910064239828694,48.161707,"Sh0"
"797","Sh01_g028450",18,"Sh01",48196262,48201203,"+",4941,48198732.5,0.364298724954463,48.1987325,"Sh0"
"798","Sh01_g028520",18,"Sh01",48354105,48359478,"-",5373,48356791.5,0.33500837520938,48.3567915,"Sh0"
"799","Sh01_g028540",61,"Sh01",48443807,48447008,"-",3201,48445407.5,1.90565448297407,48.4454075,"Sh0"
"800","Sh01_g028590",67,"Sh01",48456921,48464224,"-",7303,48460572.5,0.917431192660551,48.4605725,"Sh0"
"801","Sh01_g028620",65,"Sh01",48495121,48498223,"+",3102,48496672,2.09542230818827,48.496672,"Sh0"
"802","Sh01_g028660",16,"Sh01",48502775,48504756,"+",1981,48503765.5,0.807672892478546,48.5037655,"Sh0"
"803","Sh01_g028750",384,"Sh01",48636852,48642576,"-",5724,48639714,6.70859538784067,48.639714,"Sh0"
"804","Sh01_g028780",39,"Sh01",48675225,48676207,"-",982,48675716,3.97148676171079,48.675716,"Sh0"
"805","Sh01_g028790",18,"Sh01",48747947,48748807,"-",860,48748377,2.09302325581395,48.748377,"Sh0"
"806","Sh01_g028820",19,"Sh01",48795410,48797698,"-",2288,48796554,0.83041958041958,48.796554,"Sh0"
"807","Sh01_g028960",243,"Sh01",48995190,49002495,"+",7305,48998842.5,3.3264887063655,48.9988425,"Sh0"
"808","Sh01_g028980",20,"Sh01",49041942,49045096,"+",3154,49043519,0.634115409004439,49.043519,"Sh0"
"809","Sh01_g028990",18,"Sh01",49046944,49048608,"-",1664,49047776,1.08173076923077,49.047776,"Sh0"
"810","Sh01_g029010",18,"Sh01",49093649,49096182,"-",2533,49094915.5,0.710619818397157,49.0949155,"Sh0"
"811","Sh01_g029090",21,"Sh01",49219205,49221576,"+",2371,49220390.5,0.885702235343737,49.2203905,"Sh0"
"812","Sh01_g029120",208,"Sh01",49247106,49247656,"+",550,49247381,37.8181818181818,49.247381,"Sh0"
"813","Sh01_g029150",18,"Sh01",49262448,49265345,"-",2897,49263896.5,0.62133241284087,49.2638965,"Sh0"
"814","Sh01_g029160",18,"Sh01",49297648,49300198,"+",2550,49298923,0.705882352941177,49.298923,"Sh0"
"815","Sh01_g029170",265,"Sh01",49326310,49329442,"+",3132,49327876,8.4610472541507,49.327876,"Sh0"
"816","Sh01_g029180",220,"Sh01",49340686,49346735,"+",6049,49343710.5,3.63696478756819,49.3437105,"Sh0"
"817","Sh01_g029190",18,"Sh01",49356123,49359823,"-",3700,49357973,0.486486486486486,49.357973,"Sh0"
"818","Sh01_g029240",64,"Sh01",49480315,49483819,"+",3504,49482067,1.82648401826484,49.482067,"Sh0"
"819","Sh01_g029280",88,"Sh01",49563055,49565250,"+",2195,49564152.5,4.00911161731207,49.5641525,"Sh0"
"820","Sh01_g029370",20,"Sh01",49642399,49644121,"+",1722,49643260,1.16144018583043,49.64326,"Sh0"
"821","Sh01_g029390",18,"Sh01",49647608,49655963,"-",8355,49651785.5,0.215439856373429,49.6517855,"Sh0"
"822","Sh01_g029620",20,"Sh01",49805713,49807147,"-",1434,49806430,1.39470013947001,49.80643,"Sh0"
"823","Sh01_g029630",19,"Sh01",49808941,49813960,"-",5019,49811450.5,0.378561466427575,49.8114505,"Sh0"
"824","Sh01_g029680",35,"Sh01",49893907,49897102,"-",3195,49895504.5,1.09546165884194,49.8955045,"Sh0"
"825","Sh01_g029700",18,"Sh01",49898270,49900931,"-",2661,49899600.5,0.676437429537768,49.8996005,"Sh0"
"826","Sh01_g029720",75,"Sh01",49944690,49953009,"-",8319,49948849.5,0.901550667147494,49.9488495,"Sh0"
"827","Sh01_g029740",18,"Sh01",49965008,49966324,"+",1316,49965666,1.3677811550152,49.965666,"Sh0"
"828","Sh01_g029750",38,"Sh01",49980728,49987720,"-",6992,49984224,0.543478260869565,49.984224,"Sh0"
"829","Sh01_g029790",18,"Sh01",50119891,50122795,"-",2904,50121343,0.619834710743802,50.121343,"Sh0"
"830","Sh01_g029800",21,"Sh01",50130727,50138600,"-",7873,50134663.5,0.266734408738727,50.1346635,"Sh0"
"831","Sh01_g029930",19,"Sh01",50312772,50315388,"-",2616,50314080,0.726299694189602,50.31408,"Sh0"
"832","Sh01_g029980",25,"Sh01",50360980,50365731,"-",4751,50363355.5,0.52620500947169,50.3633555,"Sh0"
"833","Sh01_g029990",45,"Sh01",50367107,50372286,"+",5179,50369696.5,0.868893608804789,50.3696965,"Sh0"
"834","Sh01_g030010",18,"Sh01",50390402,50394642,"+",4240,50392522,0.424528301886792,50.392522,"Sh0"
"835","Sh01_g030040",203,"Sh01",50406438,50408936,"+",2498,50407687,8.12650120096077,50.407687,"Sh0"
"836","Sh01_g030080",21,"Sh01",50481823,50484677,"-",2854,50483250,0.735809390329362,50.48325,"Sh0"
"837","Sh01_g030100",162,"Sh01",50490401,50492445,"-",2044,50491423,7.92563600782779,50.491423,"Sh0"
"838","Sh01_g030180",145,"Sh01",50567812,50571644,"-",3832,50569728,3.7839248434238,50.569728,"Sh0"
"839","Sh01_g030250",18,"Sh01",50667020,50670951,"+",3931,50668985.5,0.457898753497838,50.6689855,"Sh0"
"840","Sh01_g030280",20,"Sh01",50757617,50761258,"-",3641,50759437.5,0.549299642955232,50.7594375,"Sh0"
"841","Sh01_g030320",28,"Sh01",50776290,50779409,"+",3119,50777849.5,0.897723629368387,50.7778495,"Sh0"
"842","Sh01_g030500",18,"Sh01",51103887,51106632,"+",2745,51105259.5,0.655737704918033,51.1052595,"Sh0"
"843","Sh01_g030550",80,"Sh01",51232148,51235559,"-",3411,51233853.5,2.34535326883612,51.2338535,"Sh0"
"844","Sh01_g030590",19,"Sh01",51347295,51350707,"+",3412,51349001,0.556858147713951,51.349001,"Sh0"
"845","Sh01_g030630",20,"Sh01",51387482,51393308,"+",5826,51390395,0.343288705801579,51.390395,"Sh0"
"846","Sh01_g030730",18,"Sh01",51616492,51620047,"+",3555,51618269.5,0.506329113924051,51.6182695,"Sh0"
"847","Sh01_g030740",37,"Sh01",51651372,51656050,"+",4678,51653711,0.790936297563061,51.653711,"Sh0"
"848","Sh01_g030820",75,"Sh01",51745887,51748081,"+",2194,51746984,3.41841385597083,51.746984,"Sh0"
"849","Sh01_g030830",20,"Sh01",51794337,51799210,"+",4873,51796773.5,0.410424789657295,51.7967735,"Sh0"
"850","Sh01_g030840",18,"Sh01",51802795,51822179,"+",19384,51812487,0.0928600907965332,51.812487,"Sh0"
"851","Sh01_g030860",18,"Sh01",51838665,51841602,"-",2937,51840133.5,0.612870275791624,51.8401335,"Sh0"
"852","Sh01_g030890",19,"Sh01",51868567,51872777,"-",4210,51870672,0.451306413301663,51.870672,"Sh0"
"853","Sh01_g030920",19,"Sh01",51925097,51928473,"+",3376,51926785,0.562796208530806,51.926785,"Sh0"
"854","Sh01_g030970",22,"Sh01",51957527,51962483,"+",4956,51960005,0.443906376109766,51.960005,"Sh0"
"855","Sh01_g031000",423,"Sh01",51982729,51990549,"-",7820,51986639,5.40920716112532,51.986639,"Sh0"
"856","Sh01_g031170",261,"Sh01",52279805,52285872,"+",6067,52282838.5,4.30196143069062,52.2828385,"Sh0"
"857","Sh01_g031210",17,"Sh01",52365269,52368792,"+",3523,52367030.5,0.482543286971331,52.3670305,"Sh0"
"858","Sh01_g031250",18,"Sh01",52434653,52435221,"+",568,52434937,3.16901408450704,52.434937,"Sh0"
"859","Sh01_g031410",87,"Sh01",52721094,52723177,"-",2083,52722135.5,4.17666826692271,52.7221355,"Sh0"
"860","Sh01_g031610",18,"Sh01",52974266,52980077,"+",5811,52977171.5,0.309757356737222,52.9771715,"Sh0"
"861","Sh01_g031660",36,"Sh01",53097145,53099892,"-",2747,53098518.5,1.31052056789225,53.0985185,"Sh0"
"862","Sh01_g031670",18,"Sh01",53100310,53101739,"-",1429,53101024.5,1.25962211336599,53.1010245,"Sh0"
"863","Sh01_g031700",22,"Sh01",53111781,53113017,"+",1236,53112399,1.77993527508091,53.112399,"Sh0"
"864","Sh01_g031710",18,"Sh01",53122276,53123145,"+",869,53122710.5,2.07134637514384,53.1227105,"Sh0"
"865","Sh01_g031730",18,"Sh01",53139083,53143762,"+",4679,53141422.5,0.38469758495405,53.1414225,"Sh0"
"866","Sh01_g031740",76,"Sh01",53158366,53159624,"+",1258,53158995,6.04133545310016,53.158995,"Sh0"
"867","Sh01_g031750",37,"Sh01",53161539,53164072,"+",2533,53162805.5,1.46071851559416,53.1628055,"Sh0"
"868","Sh01_g031770",50,"Sh01",53229640,53236313,"-",6673,53232976.5,0.749288176232579,53.2329765,"Sh0"
"869","Sh01_g031800",88,"Sh01",53336568,53339413,"-",2845,53337990.5,3.09314586994728,53.3379905,"Sh0"
"870","Sh01_g031840",18,"Sh01",53440518,53446352,"+",5834,53443435,0.308536167295166,53.443435,"Sh0"
"871","Sh01_g031880",18,"Sh01",53489351,53494136,"-",4785,53491743.5,0.376175548589342,53.4917435,"Sh0"
"872","Sh01_g031940",1171,"Sh01",53636825,53638590,"+",1765,53637707.5,66.3456090651558,53.6377075,"Sh0"
"873","Sh01_g032100",118,"Sh01",53820500,53824088,"+",3588,53822294,3.28874024526198,53.822294,"Sh0"
"874","Sh01_g032170",520,"Sh01",53923330,53926143,"+",2813,53924736.5,18.485602559545,53.9247365,"Sh0"
"875","Sh01_g032190",119,"Sh01",53940192,53944481,"-",4289,53942336.5,2.77453951970156,53.9423365,"Sh0"
"876","Sh01_g032250",18,"Sh01",54053115,54053474,"-",359,54053294.5,5.01392757660167,54.0532945,"Sh0"
"877","Sh01_g032270",18,"Sh01",54139668,54142589,"+",2921,54141128.5,0.616227319411161,54.1411285,"Sh0"
"878","Sh01_g032310",18,"Sh01",54154853,54158491,"-",3638,54156672,0.494777350192413,54.156672,"Sh0"
"879","Sh01_g032380",18,"Sh01",54215697,54217449,"-",1752,54216573,1.02739726027397,54.216573,"Sh0"
"880","Sh01_g032490",18,"Sh01",54345442,54347910,"-",2468,54346676,0.729335494327391,54.346676,"Sh0"
"881","Sh01_g032500",20,"Sh01",54406926,54409697,"+",2771,54408311.5,0.721761097076868,54.4083115,"Sh0"
"882","Sh01_g032560",37,"Sh01",54475537,54476997,"-",1460,54476267,2.53424657534247,54.476267,"Sh0"
"883","Sh01_g032590",111,"Sh01",54623090,54626868,"+",3778,54624979,2.93806246691371,54.624979,"Sh0"
"884","Sh01_g032600",18,"Sh01",54627321,54629319,"-",1998,54628320,0.900900900900901,54.62832,"Sh0"
"885","Sh01_g032630",19,"Sh01",54661933,54665937,"+",4004,54663935,0.474525474525474,54.663935,"Sh0"
"886","Sh01_g032670",86,"Sh01",54824934,54828361,"+",3427,54826647.5,2.50948351327692,54.8266475,"Sh0"
"887","Sh01_g032710",308,"Sh01",54879712,54880504,"-",792,54880108,38.8888888888889,54.880108,"Sh0"
"888","Sh01_g032760",27,"Sh01",54955787,54959463,"+",3676,54957625,0.73449401523395,54.957625,"Sh0"
"889","Sh01_g032860",19,"Sh01",55076001,55080061,"+",4060,55078031,0.467980295566503,55.078031,"Sh0"
"890","Sh01_g032880",66,"Sh01",55096504,55100810,"+",4306,55098657,1.53274500696702,55.098657,"Sh0"
"891","Sh01_g032920",18,"Sh01",55136443,55138882,"-",2439,55137662.5,0.738007380073801,55.1376625,"Sh0"
"892","Sh01_g032940",18,"Sh01",55158777,55163713,"+",4936,55161245,0.364667747163695,55.161245,"Sh0"
"893","Sh01_g032960",173,"Sh01",55212976,55215130,"-",2154,55214053,8.03156917363046,55.214053,"Sh0"
"894","Sh01_g033020",216,"Sh01",55303453,55304293,"+",840,55303873,25.7142857142857,55.303873,"Sh0"
"895","Sh01_g033050",23,"Sh01",55320257,55325969,"-",5712,55323113,0.40266106442577,55.323113,"Sh0"
"896","Sh01_g033060",37,"Sh01",55326832,55330701,"-",3869,55328766.5,0.956319462393383,55.3287665,"Sh0"
"897","Sh01_g033070",88,"Sh01",55330886,55337927,"+",7041,55334406.5,1.24982246839938,55.3344065,"Sh0"
